Date,Text,Box,Status,Temperature,Sentiment
2021-11-27-15-20,I would never understand the logic behind sitting right on top of someone when there’s mad empty seating 😩,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-20,thanks playing Music 🎶 By @Madonna this afternoon,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-20,It's always gonna be a debate on everything because everyone have different opinions and that's okay we all differe… https://t.co/N6fPpRwoux,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-20,She looks pretty Period,"[[-73.560512, 40.743142], [-73.560512, 40.793139], [-73.499673, 40.793139], [-73.499673, 40.743142]]",Clouds,4.0,Positive
2021-11-27-15-20,"Yo our album is blowing up! 10,000 views in a month on #psychedelicmuse! Link in my bio! Zman8 &amp; some great people… https://t.co/3fpG1Zx8NV","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-20,The secondary owes the Dline dinner Good lord,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-20,"25 looks good, wondering what 26 has in store for me.","[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]",Clouds,4.0,Positive
2021-11-27-15-21,"Can you recommend anyone for this Security Officer job in New York, NY? Click the link in our bio to see it and mor… https://t.co/VjBCAWUGuy","[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-21,Been taking the train since I’ve been 12ish. Ngl the mta deadass not safe. I take the J to midtown everyday and I… https://t.co/j0JLk8JT9M,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-21,I could do more than handle that sexy,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
