Date,Text,Box,Status,Temperature,Sentiment
2021-11-27-15-21,How can you not love college football?,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Negative
2021-11-27-15-21,Good Morning ! @SushovanBaner15 @narendramodi @AmitShah @DrSudiptoBaner1 @BarackObama https://t.co/GUCHEykEYQ,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-21,"Rep. Eric Swalwell tells Joy Reid, ‘Here we saw Donald Trump promise to make America great again and after four yea… https://t.co/MC1wO9Bgx9","[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Positive
2021-11-27-15-22,YALL GOTTA DO BETTER COACHES! DONT UNDERSTAND WHY ONE OF YALL BEST PLAYERS WAS ON THE BENCH AND YALL GOT SMACK 🤦🏾‍♂️,"[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]",Clouds,4.0,Positive
2021-11-27-15-22,WoW. Their coffee is too strong for me. My stomach can’t handle it!,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-22,Y’all that Italian man wasn’t real!!!!!! Hahaha https://t.co/Bb1CDg3cx3,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-22,Thanks!! 💖💖💖,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-22,I am far from rich but I know that I am extremely privileged. I'm sitting here on my bed watching someone else do m… https://t.co/462Vgv1rBI,"[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]",Clouds,4.0,Positive
2021-11-27-15-22,"This job is now open at Booz Allen in New York, NY. Follow us and turn on mobile alerts to hear about jobs like the… https://t.co/kZOwbF9qrK","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-22,Your supposed apology was insincere and you should resign. You're representative of the worst that the… https://t.co/qLFdA0UwHF,"[[-74.255641, 40.495865], [-74.255641, 40.91533], [-73.699793, 40.91533], [-73.699793, 40.495865]]",Clouds,4.0,Negative
2021-11-27-15-22,U work hard,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-22,I’ve been forgetting to google what “oral top” means for like fourteen years,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-22,I wish it was over here in New York for 2 weeks at the I-MAX midtown…,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-22,"Of all the new Latino animated movies I still find myself singing,""Remember me"" and then boom I'm crying!","[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-22,This #Labor job might be a great fit for you. Click the link in our bio to see it and more. Warehouse Worker - Pack… https://t.co/JktpGe7Y6r,"[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Positive
2021-11-27-15-22,"I didn't know that, really awesome!","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-23,"Read the thread. My take, the media is hysterical, the pols don't know what they're doing, and the c… https://t.co/jo43IgfI6I","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-23,Love it!,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-23,This Ohio State game has to be some of the best football I’ve ever watched,"[[-73.713112, 40.805231], [-73.713112, 40.853977], [-73.651629, 40.853977], [-73.651629, 40.805231]]",Clouds,4.0,Positive
2021-11-27-15-23,Can you recommend anyone for this #Marketing job in NY? Click the link in our bio to see it and more. Event Special… https://t.co/iYbk3LM3yb,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Positive
2021-11-27-15-23,Why is it illegal to carry a gun? Maybe he was fearing for his life with all the BLM ri… https://t.co/FbKigd7UjS,"[[-73.637602, 40.58311], [-73.637602, 40.596903], [-73.583734, 40.596903], [-73.583734, 40.58311]]",Clouds,4.0,Negative
2021-11-27-15-23,Guess who just made my day? @WarbyParker. Thanks #teamwarby! (Special shout-out to Gabriel!),"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-23,Good lord. This is awful.,"[[-73.853645, 40.889695], [-73.853645, 40.935303], [-73.805123, 40.935303], [-73.805123, 40.889695]]",Clouds,4.0,Negative
2021-11-27-15-23,I should also note @amazon that customer service said we don't price adjust. How is it ok when the TV I ordered has… https://t.co/PDYjo7G3lT,"[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]",Clouds,4.0,Positive
2021-11-27-15-24,Happy birthday Lindsey. Here’s to a wonderful day and year ahead!!! https://t.co/oN0bgp0CrE,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-24,"Can I have him Lord? Im not asking for much, But you see the way he looks at me got me mesmerised Like a sign tell… https://t.co/tWhwy3EOZo","[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]",Clouds,4.0,Positive
2021-11-27-15-24,the announcers in this game suck,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-24,Ha! I watched Hereditary right after that!,"[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Positive
2021-11-27-15-24,"Because I know he’s a gift from you, Personally sent from you A perfect human, created from the very depths of you.… https://t.co/0V0pya9FEH","[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]",Clouds,4.0,Positive
2021-11-27-15-24,Yummy! @ Cipriani Downtown (New York) https://t.co/e5sHQTiFVE,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-24,St. Nick is ready to drink some milk rn,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-25,I tweeted this 45 seconds ago and didn’t even @ you. That’s crazy. https://t.co/kuNuy3UaYT,"[[-73.6611, 40.612083], [-73.6611, 40.657308], [-73.616045, 40.657308], [-73.616045, 40.612083]]",Clouds,4.0,Negative
2021-11-27-15-25,"Interested in a job in #Farmingville, NY? This could be a great fit: https://t.co/IQXxvoSzg2 #Labor","[[-73.021438, 40.794104], [-73.021438, 40.85056], [-72.953955, 40.85056], [-72.953955, 40.794104]]",Clouds,4.0,Positive
2021-11-27-15-25,must be nice to be a michigan fan right now. haskins cant be stopped,"[[-74.037661, 40.339102], [-74.037661, 40.378911], [-73.976398, 40.378911], [-73.976398, 40.339102]]",Clouds,4.0,Positive
2021-11-27-15-25,Tbh it didn’t scare me nearly as much as I’d anticipated. Great creepy AF atmosphere tho.,"[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Positive
2021-11-27-15-25,This is a fun stat.,"[[-73.933612, 40.785365], [-73.933612, 40.91533], [-73.765271, 40.91533], [-73.765271, 40.785365]]",Clouds,4.0,Positive
2021-11-27-15-25,"I like Percy, he has an old soul look to him..","[[-74.012435, 40.260557], [-74.012435, 40.328156], [-73.974657, 40.328156], [-73.974657, 40.260557]]",Clouds,4.0,Positive
2021-11-27-15-26,"Join the Ballard Designs team! See our latest job opening here: https://t.co/zEQYU8cEOU #Retail #GardenCity, NY","[[-73.682722, 40.707292], [-73.682722, 40.742953], [-73.608713, 40.742953], [-73.608713, 40.707292]]",Clouds,4.0,Positive
2021-11-27-15-26,Sweet!,"[[-73.727776, 40.950918], [-73.727776, 42.050588], [-71.786994, 42.050588], [-71.786994, 40.950918]]",Clouds,4.0,Positive
2021-11-27-15-26,Nooooo this had my heart torn watching this… it got real dark and my emotions was out of wack.,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-26,"AND HANUKKAH which just looks like a shrine to bad brains, nespresso pods, and clementines 😂 https://t.co/lEuxQGMJsj","[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Negative
2021-11-27-15-26,But also bringing in good locker room guys,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Positive
2021-11-27-15-26,I know you know :-),"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-26,OSU needs to create a turnover b/c they clearly can’t stop these dudes,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-26,everything is so cute here :’) https://t.co/jqMcN64WPT,"[[-73.726308, 40.711906], [-73.726308, 40.711906], [-73.726308, 40.711906], [-73.726308, 40.711906]]",Clouds,4.0,Positive
2021-11-27-15-26,Proud to have Darwin on our SEO team,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-26,Should I attempt the highly revered vegan Mac and Cheese?,"[[-73.545679, 40.699993], [-73.545679, 40.74357], [-73.484061, 40.74357], [-73.484061, 40.699993]]",Clouds,4.0,Positive
2021-11-27-15-27,"You might miss a big point shutting people up take control of your say and stick with it ,it's okay if you stand al… https://t.co/R1a8ZdceZb","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-27,Y’all…I can’t type what I want. Let me just take this L in peace haha https://t.co/034yii15pP,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-28,one retweet goes a long way i just need all this shit out of my storage for new stuff 😂😫 #retweet #Cash… https://t.co/Eh2dH2q1y2,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Negative
2021-11-27-15-28,Good for Michigan and Jim Harbaugh! Didn’t think they had it in them. Questionable call in East Lansing away from a… https://t.co/O62eERzyr7,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Positive
2021-11-27-15-28,AND HANUKKAH which looks like a shrine to bad brains 😂 https://t.co/sVQnw7Qlzq,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Negative
2021-11-27-15-28,SCREAMING CRYING THROWING UP!!!! @jaggedmusical,"[[-73.987744, 40.758132], [-73.987744, 40.758132], [-73.987744, 40.758132], [-73.987744, 40.758132]]",Clouds,4.0,Negative
2021-11-27-15-28,"You can see the moment where Yiannis, a brother himself, realizes he doesn’t want to leave the older br… https://t.co/VNltpkkqRS","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-28,Star still being on COVID list is concerning. Hopefully he and Brown are off it very soon,"[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Positive
2021-11-27-15-28,Nice,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-28,This Is One Of The Best Games I’ve Seen! Wow!! @k4coleman 👀,"[[-75.563587, 38.788657], [-75.563587, 41.357424], [-73.88506, 41.357424], [-73.88506, 38.788657]]",Clouds,4.0,Positive
2021-11-27-15-28,Good trainer at first to get you into a program with a good nutritional guide. Once you re comfortable you can go solo,"[[-74.002, 40.957497], [-74.002, 40.984236], [-73.934417, 40.984236], [-73.934417, 40.957497]]",Clouds,4.0,Positive
2021-11-27-15-28,Just five the Heisman to Haskins already! Wow! #GoBlue,"[[-73.427343, 40.654842], [-73.427343, 40.692823], [-73.404181, 40.692823], [-73.404181, 40.654842]]",Clouds,4.0,Positive
2021-11-27-15-29,Let’s talk about consistency in a friendship. A lot of y’all ready for this conversation,"[[-73.853645, 40.889695], [-73.853645, 40.935303], [-73.805123, 40.935303], [-73.805123, 40.889695]]",Clouds,4.0,Positive
2021-11-27-15-29,Waiting this long to act is almost more infuriating than doing nothing at all. This release is basically PR-speak f… https://t.co/CTgbauZWhX,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-29,Disappointing? Julius? RJ? you watching?,"[[-73.807197, 40.881294], [-73.807197, 40.988329], [-73.755414, 40.988329], [-73.755414, 40.881294]]",Clouds,4.0,Negative
2021-11-27-15-29,Just give the Heisman to Haskins already! Wow! I can’t believe this is happening!! #GoBlue,"[[-73.427343, 40.654842], [-73.427343, 40.692823], [-73.404181, 40.692823], [-73.404181, 40.654842]]",Clouds,4.0,Positive
2021-11-27-15-29,"True. We haven't seen heads on spikes, excessive nudity and dragons burning people to ashes yet. It d… https://t.co/zzPLWTa6Tc","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-29,"Your evil words had consequences here in New York. @SpeakerPelosi @RepMaloney Tell her to resign, just… https://t.co/GBzp9cyKX5","[[-73.956005, 40.769409], [-73.956005, 40.784244], [-73.937591, 40.784244], [-73.937591, 40.769409]]",Clouds,4.0,Negative
2021-11-27-15-29,"Fuck Michigan, but not as much as penn state.","[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Negative
2021-11-27-15-29,"Had some good coffee at my friends spot in Harrison, NY this am #stateoftheart #cortado https://t.co/haaeMqhcLe","[[-74.002, 40.957497], [-74.002, 40.984236], [-73.934417, 40.984236], [-73.934417, 40.957497]]",Clouds,4.0,Positive
2021-11-27-15-29,"Cedar point sucks, 55mph sucks, nuts suck, HAIL you southern bitches!!!! #GoBlue","[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-29,Waaaaiiitttt who is his granddaughter lmao,"[[-74.013771, 40.808433], [-74.013771, 40.826826], [-73.990818, 40.826826], [-73.990818, 40.808433]]",Clouds,4.0,Positive
2021-11-27-15-29,Wow!!! Goodnight the lights!!! Hassan Haskins with FIVE TOUCHDOWNS!!! He shoulda did the Desmond Howard Heisman p… https://t.co/Jybv7fkMOB,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-30,i want rico to drop this tour so bad she deserves so much better it makes me sick,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-30,"Can you recommend anyone for this Physician / Surgeon.Dermatology.General Dermatology job in Albany, New York? Clic… https://t.co/PNzZ4EZdVD","[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Positive
2021-11-27-15-30,Not really. Where is Kris Bryant where is the pitching. The moves were nice but not good enough to win world series.,"[[-73.753788, 40.959134], [-73.753788, 41.079457], [-73.684613, 41.079457], [-73.684613, 40.959134]]",Clouds,4.0,Positive
2021-11-27-15-30,Is there even any hope left to win this game? 😔,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-30,Holiday weeks fuck me up I thought it was fuckin Tuesday lol,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-30,"Wind 0 mph -. Barometer 29.95 in, Falling slowly. Temperature 33.4 °F. Rain today 0.00in. Humidity 63%","[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]",Clouds,4.0,Negative
2021-11-27-15-30,That’s Ohio State run defense is bad,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-30,Jim Harbaugh finally gonna get that victory over Ohio State. Good for him!!! #OSUvsMich,"[[-73.486593, 40.681111], [-73.486593, 40.718254], [-73.450056, 40.718254], [-73.450056, 40.681111]]",Clouds,4.0,Positive
2021-11-27-15-30,Coming out very nice 👍😊,"[[-73.02154, 40.904061], [-73.02154, 40.966649], [-72.956704, 40.966649], [-72.956704, 40.904061]]",Clouds,4.0,Positive
2021-11-27-15-30,"Last Stop, Santa 🎅 , so Lola’s sure he knows what’s on her list’s 🎅🎄🎅🎄❤️ @ The Milleridge Carriage House https://t.co/njqI0MTuBb","[[-73.572945, 40.771556], [-73.572945, 40.803164], [-73.515075, 40.803164], [-73.515075, 40.771556]]",Clouds,4.0,Positive
2021-11-27-15-30,"Never in my life did I think I would say these words, but: I'm happy for Michigan","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-30,"That’s an honest answer, as I understand why you wouldn’t be happy about it lol. Honestly, how we ma… https://t.co/YuiTjbOb4q","[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-30,In love with Brooklyn and you @lostnsaucee https://t.co/Whc2TkGkxY,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-31,"Fuck it, I am going to my FIRST professional basketball game this Tuesday. Let’s go NETS! #Brooklyn https://t.co/BrQImPJ0Pw","[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-31,🎨🖤🎨12 Black Visual Artists Prominent in the ’80s Not Named Jean-Michel Basquiat https://t.co/IvbgfAUEoj,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-31,This #Finance job might be a great fit for you. Click the link in our bio to see it and more. Strategic Marketing L… https://t.co/mUJIK6jzIo,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-31,Wow Harbaugh is going to finally do it,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-31,Before the bf and myself get to Westchester for a family member's sweet 16 party - a couple *must* not travel on em… https://t.co/DghP7Zv31I,"[[-73.977811, 40.57559], [-73.977811, 40.57559], [-73.977811, 40.57559], [-73.977811, 40.57559]]",Clouds,4.0,Positive
2021-11-27-15-31,If people call you crazy except that it means you are different from a pack and you stand out the crowd,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-31,"Alabama fans, this is what you sound like","[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-31,I can’t think of any better co starring debut performances than what Alana Haim and Cooper Hoffman have done in #LicoricePizza,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-31,Squad is not great. Also Memphis can’t keep missing sitters,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Negative
2021-11-27-15-31,I'm barely old enough to remember the day when women used to carry documents on the street. wow!,"[[-74.041878, 40.570842], [-74.041878, 40.739434], [-73.855673, 40.739434], [-73.855673, 40.570842]]",Clouds,4.0,Positive
2021-11-27-15-31,#ServiceSaturday Thank you to Coach Chiene’ of @GrowOurGameNY for welcoming us back to Harlem for a day filled with… https://t.co/5mFytFqZzn,"[[-73.961073, 40.796851], [-73.961073, 40.836389], [-73.933946, 40.836389], [-73.933946, 40.796851]]",Clouds,4.0,Positive
2021-11-27-15-31,Bitch come to nyc so we can destroy each other,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Negative
2021-11-27-15-31,Napping in the sun is my favorite thing to do ☀️ https://t.co/mH8pRJL5i5,"[[-73.911271, 40.900789], [-73.911271, 40.988346], [-73.810443, 40.988346], [-73.810443, 40.900789]]",Clouds,4.0,Positive
2021-11-27-15-31,"C’mon baby, I wanna be a good little cumslut for you and make you feel soO good 🤤 I’m offering a FREE dirty talk a… https://t.co/LEBgioUvJZ","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-31,crying about property over people = a conservative mantra,"[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Negative
2021-11-27-15-32,Three more variants and we get a free sub.,"[[-74.255641, 40.495865], [-74.255641, 40.91533], [-73.699793, 40.91533], [-73.699793, 40.495865]]",Clouds,4.0,Positive
2021-11-27-15-32,big fuck you to everyone being rude af to rico nasty on tour y’all suck fr,"[[-73.042337, 40.772357], [-73.042337, 40.795224], [-73.007588, 40.795224], [-73.007588, 40.772357]]",Clouds,4.0,Negative
2021-11-27-15-32,"4 hours on a bike seat in 30 degree temps= pretty sure my ass is still somewhere in NJ, I can’t feel it on my body","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,movie theater review: AMC Orpheum 7 first &amp; probably last time coming here lol. clientele is almost exclusively sl… https://t.co/H7QxIWscwH,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,#Coffee #CoffeeTime @Starbucks is best shared *at least* 2x a day! ♥️ @BlissMyHeart https://t.co/W3ZGQalT0S,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,"Awesome, articulate video!","[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,Happy Birthday Grandma Helen @ Upper East Side Rehabilitation and Nursing Center https://t.co/9Q6aSP9SPx,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,They look so uncomfortable 🥺,"[[-73.903249, 40.65447], [-73.903249, 40.680207], [-73.855673, 40.680207], [-73.855673, 40.65447]]",Clouds,4.0,Negative
2021-11-27-15-32,Thanks and thanks about boots! 🤘,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,right i was like are we even related ???,"[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]",Clouds,4.0,Positive
2021-11-27-15-32,"I don’t watch a lot of CFB but when Ohio St. and Michigan plays, best believe I’m tuning in 🔥","[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]",Clouds,4.0,Positive
